,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
195,06.317.181/0001-60,de 1.500.000 até 4.800.000,de 10 até 50,0,-
196,84.432.434/0001-50,de 100.000.000 até 300.000.000,de 100 até 500,0,-
197,87.102.810/0001-37,de 300.000.000 até 500.000.000,de 100 até 500,0,-
198,04.313.814/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,270,"2.855.462,80"
199,07.218.968/0001-38,de 10.000.000 até 30.000.000,de 50 até 100,0,-
200,88.610.191/0001-54,de 100.000.000 até 300.000.000,acima de 500,19,"53.966.179,22"
201,61.105.060/0001-63,de 30.000.000 até 100.000.000,acima de 500,29,"4.893.644,10"
202,09.035.359/0001-79,de 1.500.000 até 4.800.000,de 10 até 50,13,"66.733,82"
203,01.674.524/0001-20,de 10.000.000 até 30.000.000,de 50 até 100,14,"3.772.233,19"
204,76.524.370/0001-90,de 1.500.000 até 4.800.000,de 100 até 500,32,"432.576,90"
205,02.375.902/0001-38,de 100.000.000 até 300.000.000,de 100 até 500,155,"10.948.409,06"
206,03.135.187/0001-29,de 0 até 81.000,de 10 até 50,17,"350.745,05"
207,80.416.225/0001-62,de 4.800.000 até 10.000.000,de 100 até 500,0,-
208,05.745.387/0001-29,de 10.000.000 até 30.000.000,de 100 até 500,0,-
209,06.293.564/0001-46,de 30.000.000 até 100.000.000,de 100 até 500,1,"21.490,57"
210,03.279.946/0001-27,de 100.000.000 até 300.000.000,de 100 até 500,0,-
211,04.016.420/0001-17,de 10.000.000 até 30.000.000,de 100 até 500,1,"2.188,33"
212,03.384.912/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-
213,06.337.585/0001-16,de 1.500.000 até 4.800.000,de 10 até 50,9,"10.170,50"
214,83.032.359/0001-78,de 360.000 até 1.500.000,de 10 até 50,14,"5.266.661,21"
215,82.663.337/0001-43,de 30.000.000 até 100.000.000,de 100 até 500,0,-
216,10.314.860/0001-53,de 10.000.000 até 30.000.000,de 100 até 500,5,"61.976,53"
217,76.488.469/0001-83,de 30.000.000 até 100.000.000,acima de 500,16,"126.990,53"
218,04.576.327/0001-67,de 30.000.000 até 100.000.000,de 0 até 5,14,"1.002.118,40"
219,94.750.981/0001-38,de 0 até 81.000,de 0 até 5,3,"28.200,00"
220,83.684.670/0001-00,de 10.000.000 até 30.000.000,de 100 até 500,0,-
221,76.812.379/0001-04,de 100.000.000 até 300.000.000,de 100 até 500,0,-
222,79.502.563/0001-38,de 4.800.000 até 10.000.000,de 50 até 100,0,-
223,02.278.437/0001-17,de 10.000.000 até 30.000.000,de 100 até 500,2,"9.601,03"
224,18.218.110/0001-90,de 81.000 até 360.000,de 10 até 50,39,"44.510,39"
