,txt_file,result
474,SERASA-R46783.txt,0
475,SERASA-R1974303.txt,0
476,SERASA-R1701066.txt,1
477,SERASA-R1775403.txt,0
478,SERASA-R1026162.txt,0
479,SERASA-R1691526.txt,1
480,SERASA-R1045002.txt,1
481,SERASA-R12424491.txt,1
482,SERASA-R620503.txt,0
483,SERASA-R1095212.txt,1
484,SERASA-R1459875.txt,1
485,SERASA-R2058283.txt,1
486,SERASA-R7531012.txt,0
487,SERASA-R12256122.txt,0
488,SERASA-R1722912.txt,1
489,SERASA-R12290273.txt,0
490,SERASA-R6970767.txt,0
491,SERASA-R232692.txt,0
492,SERASA-R2148602.txt,0
493,SERASA-R1886594.txt,0
494,SERASA-R1796833.txt,0
495,SERASA-R1775716.txt,1
496,SERASA-R10962912.txt,1
497,SERASA-R2220181.txt,0
498,SERASA-R2132083.txt,1
499,SERASA-R1261509.txt,1
500,SERASA-R907294.txt,1
501,SERASA-R262124.txt,0
502,SERASA-R2132502.txt,0
503,SERASA-R542845.txt,1
504,SERASA-R977944.txt,1
505,SERASA-R12316841.txt,0
506,SERASA-R294321.txt,0
507,SERASA-R780405.txt,1
508,SERASA-R10670814.txt,1
509,SERASA-R1308932.txt,1
510,SERASA-R6961252.txt,0
511,SERASA-R12361461.txt,1
512,SERASA-R1289733.txt,0
513,SERASA-R2015031.txt,1
514,SERASA-R287342.txt,1
515,SERASA-R12246661.txt,1
516,SERASA-R590122.txt,0
517,SERASA-R1074142.txt,1
518,SERASA-R810723.txt,0
519,SERASA-R1324515.txt,1
520,SERASA-R10885852.txt,1
521,SERASA-R903155.txt,1
522,SERASA-R1705323.txt,0
523,SERASA-R437431.txt,1
524,SERASA-R12159062.txt,1
525,SERASA-R1598543.txt,1
526,SERASA-R5051610.txt,0
527,SERASA-R1781133.txt,1
528,SERASA-R11831821.txt,1
529,SERASA-R12403241.txt,1
530,SERASA-R457022.txt,1
531,SERASA-R1064384.txt,1
532,SERASA-R380468.txt,0
